Title,PROMPT,Industry,Location,Date targeted,Company List,ICP Match Prompt
US - Technology / SaaS,"Technology, SaaS, Software, and Cloud Infrastructure companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Technology / SaaS / Software,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Retail / Hospitality,"Multi-location Retail chains, Restaurant chains, and Hospitality companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Retail / Restaurant / Hospitality,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Airlines / Logistics,"Airlines, Transportation, and Logistics companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Airlines / Transportation / Logistics,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Asset Management / PE,"Asset Management firms, Private Equity firms, Hedge Funds, and Registered Investment Advisors in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Asset Management / PE / Hedge Funds,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Insurance,"Regional and mid-size Insurance carriers in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Insurance,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Healthcare,"Healthcare systems and Hospital networks in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Healthcare,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Telecom,"Telecommunications and Cable companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Telecommunications,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Financial Services,"Financial Services and Banking companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Financial Services / Banking,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - Consulting,"Consulting firms and Professional Services companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Consulting / Professional Services,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
US - MSPs,"Managed Service Providers and IT Service companies in the United States with 10,000 or more employees that are using at least one of these IT management tools: ServiceNow, Nexthink, Lakeside SysTrack, Microsoft Intune, Jamf, Tanium, or BMC Helix. Prioritize companies currently hiring for Help Desk Technician, IT Support Specialist, L2 Support, L3 Support, Service Desk Analyst, IT Operations Manager, VP of Digital Workplace, VP of End User Computing, or Head of IT Operations.",Managed Service Providers,United States,,,"Review this company's website and public information to determine if they are a good fit for eBlissAI, an AI Workforce solution that autonomously resolves L2/L3 endpoint IT issues.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company's primary business is building IT infrastructure, cloud platforms, endpoint management tools, ITSM software, or cybersecurity products (examples: Microsoft, AWS, ServiceNow, Tanium, Cisco, VMware, Oracle, Dell Technologies, HP/HPE, Salesforce Infrastructure)
2. Company is one of these known build-not-buy organizations: Netflix, Google, Alphabet, Amazon, AWS, IBM, Bank of America, Lockheed Martin, Meta/Facebook
3. Company is a direct competitor: Nanoheal, Tanium, Nexthink, Lakeside, ControlUp, Console, Ivanti, Riverbed Aternity
4. Company website explicitly mentions they already have fully autonomous AI-driven IT operations or self-healing endpoints deployed

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 10,000 or more employees OR operates multiple physical locations/offices
2. Company's core business is NOT building IT infrastructure or endpoint management software
3. Company appears to be an enterprise that USES technology rather than BUILDS IT infrastructure products
4. No evidence on their website of already having complete autonomous IT operations

Base your decision on information found on the company website, About Us page, Products/Services page, Careers page, and recent news.

Return only: YES or NO"
