Title,PROMPT,Industry,Location,Date targeted,Company List,ICP Match Prompt
Slovenia - Tech/SaaS,"Tech, SaaS, Software, and IT-enabled companies in Slovenia with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Tech / SaaS / Software,Slovenia,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT software/SaaS or tech-enabled services

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in software/SaaS or tech-enabled services
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Slovenia - Fintech,"Fintech, , and IT-enabled companies in Slovenia with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Fintech,Slovenia,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT fintech or financial services software

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in fintech or financial services software
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Slovenia - Martech/DevTools,"Martech, Dev Tools, B2B SaaS, and IT-enabled companies in Slovenia with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Martech / Dev Tools / B2B SaaS,Slovenia,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT martech, developer tools, or B2B SaaS

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in martech, developer tools, or B2B SaaS
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Hungary - Tech/SaaS,"Tech, SaaS, Software, and IT-enabled companies in Hungary with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Tech / SaaS / Software,Hungary,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT software/SaaS or tech-enabled services

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in software/SaaS or tech-enabled services
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Hungary - Fintech,"Fintech, , and IT-enabled companies in Hungary with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Fintech,Hungary,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT fintech or financial services software

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in fintech or financial services software
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Hungary - Martech/DevTools,"Martech, Dev Tools, B2B SaaS, and IT-enabled companies in Hungary with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Martech / Dev Tools / B2B SaaS,Hungary,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT martech, developer tools, or B2B SaaS

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in martech, developer tools, or B2B SaaS
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Poland - Tech/SaaS,"Tech, SaaS, Software, and IT-enabled companies in Poland with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Tech / SaaS / Software,Poland,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT software/SaaS or tech-enabled services

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in software/SaaS or tech-enabled services
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Poland - Fintech,"Fintech, , and IT-enabled companies in Poland with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Fintech,Poland,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT fintech or financial services software

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in fintech or financial services software
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Poland - Martech/DevTools,"Martech, Dev Tools, B2B SaaS, and IT-enabled companies in Poland with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Martech / Dev Tools / B2B SaaS,Poland,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT martech, developer tools, or B2B SaaS

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in martech, developer tools, or B2B SaaS
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
Denmark - Tech/SaaS,"Tech, SaaS, Software, and IT-enabled companies in Denmark with 100-250 employees (priority) or 50-500 employees (secondary). Focus on companies with predominantly white-collar desk-based workforce.",Tech / SaaS / Software,Denmark,,,"Review this company's website and public information to determine if they are a good fit for Zen2Fit, a corporate wellness SaaS platform.

Return ONLY ""YES"" or ""NO"" based on these criteria:

RETURN ""NO"" IF ANY OF THESE ARE TRUE:
1. Company has under 50 employees
2. Company's workforce is predominantly non-desk/field-based
3. Company website shows they already have a well-established wellness platform
4. Company is a direct competitor in corporate wellness/EAP/employee benefits space
5. Company has no visible HR/People function
6. Company's primary business is NOT software/SaaS or tech-enabled services

RETURN ""YES"" IF ALL OF THESE ARE TRUE:
1. Company has 50-500 employees (100-250 is ideal)
2. Company's workforce is predominantly white-collar desk-based
3. Company is in software/SaaS or tech-enabled services
4. No evidence of existing comprehensive wellness platform
5. Company shows signs of having or building HR/People function


Return only: YES or NO"
